"","gene_name"
"973","Olfml2b"
"974","Atf6"
"975","Dusp12"
"976","Gm26620"
"977","Fcrlb"
"978","Fcrla"
"979","Fcgr2b"
"980","Fcgr4"
"981","Fcgr3"
"982","Cfap126"
"983","Sdhc"
"984","Mpz"
"985","Pcp4l1"
"986","Nr1i3"
"987","Tomm40l"
"988","Apoa2"
"989","Fcer1g"
"990","Ndufs2"
"991","Adamts4"
"992","B4galt3"
"993","Ppox"
"994","Usp21"
"995","Ufc1"
"996","Dedd"
"997","Nit1"
"998","Pfdn2"
"999","Klhdc9"
"1000","Nectin4"
"1001","Arhgap30"
"1002","Usf1"
"1003","Tstd1"
"1004","F11r"
"1005","Alyref2"
"1006","Itln1"
"1007","Cd244a"
"1008","Ly9"
"1009","Slamf7"
"1010","Cd48"
"1011","Slamf1"
"1012","Cd84"
"1013","Gm10521"
"1014","Slamf6"
"1015","Vangl2"
"1016","Nhlh1"
"1017","Ncstn"
"1018","Copa"
"1019","Pex19"
"1020","Dcaf8"
"1021","Pea15a"
"1022","Casq1"
"1023","Atp1a4"
"1024","Igsf8"
"1025","Atp1a2"
"1026","Kcnj9"
"1027","Kcnj10"
"1028","Pigm"
"1029","Slamf9"
"1030","Igsf9"
"1031","Tagln2"
"1032","Cfap45"
"1033","Vsig8"
"1034","Slamf8"
"1035","Fcrl6"
"1036","Dusp23"
"1037","Crp"
"1038","Apcs"
"1039","Olfr16"
"1040","Olfr1408"
"1041","Olfr1406"
"1042","Olfr218"
"1043","Olfr1404"
"1044","Fcer1a"
"1045","Olfr418"
"1046","Mptx2"
"1047","Ackr1"
"1048","Cadm3"
"1049","Aim2"
"1050","Ifi206"
"1051","Ifi214"
"1052","Ifi213"
"1053","Ifi209"
"1054","Ifi208"
"1055","Ifi207"
"1056","Ifi204"
"1057","Mndal"
"1058","Ifi211"
"1059","Ifi203"
"1060","Ifi202b"
"1061","Ifi205"
"1062","Olfr433"
"1063","Olfr432"
"1064","Olfr430"
"1065","Olfr429"
"1066","Olfr427"
"1067","Olfr231"
"1068","Olfr424"
"1069","Olfr420"
"1070","Spta1"
"1071","Olfr419"
"1072","Mptx1"
"1073","Olfr417"
"1074","Olfr248"
"1075","Olfr414"
"1076","Olfr220"
"1077","Fmn2"
"1078","Grem2"
"1079","Rgs7"
"1080","Fh1"
"1081","Kmo"
"1082","Opn3"
"1083","Chml"
"1084","Wdr64"
"1085","Exo1"
"1086","Gm38100"
"1087","Pld5"
"1088","Rbm8a2"
"1089","Cep170"
"1090","Sdccag8"
"1091","Akt3"
"1092","Zbtb18"
"1093","1700016C15Rik"
"1094","Adss"
"1095","Catspere1"
"1096","Catspere2"
"1097","Desi2"
"1098","Cox20"
"1099","Hnrnpu"
"1100","Efcab2"
"1101","Kif26b"
"1102","Smyd3"
"1103","Tfb2m"
"1104","Cnst"
"1105","Sccpdh"
"1106","Kif28"
"1107","Ahctf1"
"1108","Cdc42bpa"
"1109","Coq8a"
"1110","Psen2"
"1111","Itpkb"
"1112","Stum"
"1113","Parp1"
"1114","Lin9"
"1115","Mixl1"
"1116","Acbd3"
"1117","H3f3a"
"1118","Sde2"
"1119","Lefty2"
"1120","Pycr2"
"1121","Lefty1"
"1122","Tmem63a"
"1123","Ephx1"
"1124","9130409I23Rik"
"1125","Nvl"
"1126","Cnih4"
"1127","Wdr26"
"1128","Cnih3"
"1129","Ccdc121"
"1130","Dnah14"
"1131","Lbr"
"1132","Enah"
"1133","Srp9"
"1134","Vmn1r1"
"1135","Degs1"
"1136","Fbxo28"
"1137","Trp53bp2"
"1138","Capn2"
"1139","Capn8"
"1140","Ccdc185"
"1141","Susd4"
"1142","Tlr5"
"1143","Disp1"
"1144","Brox"
"1145","Aida"
"1146","Mia3"
"1147","Taf1a"
"1148","Hhipl2"
"1149","Dusp10"
"1150","1700056E22Rik"
"1151","Hlx"
"1152","Mtarc1"
"1153","Mtarc2"
